month,hour,n,es_fraction
5,0,15990,0.10975609756097561
5,1,16893,0.1440833481323625
5,2,2816,0.09019886363636363
5,3,665,0.10225563909774436
5,4,24823,0.18478830117229988
5,5,150182,0.19921162323048036
5,6,140065,0.17252704101667082
5,7,100151,0.14801649509241047
5,8,78951,0.12145507973299895
5,9,69442,0.10754298551309006
5,10,59253,0.10500734140043542
5,11,100043,0.1387903201623302
5,12,105239,0.12540978154486454
5,13,119523,0.11709043447704626
5,14,130274,0.12034634693031611
5,15,137119,0.12912142008036814
5,16,149566,0.14278646216386076
5,17,155073,0.16734054284111355
5,18,58171,0.1674201921919857
5,19,31989,0.10697427240613962
5,20,33406,0.1217745315212836
5,21,44427,0.13518806131406577
5,22,61230,0.1637269312428548
5,23,50456,0.1536189947677184
6,0,19248,0.12286990856192852
6,1,21221,0.14391404740587155
6,2,9258,0.12950961330740982
6,3,1576,0.12880710659898478
6,4,43178,0.1475519940710547
6,5,135154,0.15975109874661497
6,6,122719,0.1371181316666531
6,7,97700,0.11687819856704197
6,8,77370,0.09479126276334497
6,9,64120,0.08652526512788522
6,10,65445,0.09157307662923066
6,11,95132,0.11598620863642098
6,12,96311,0.09565885516711486
6,13,102370,0.09732343459998047
6,14,107419,0.10092255560003352
6,15,111302,0.09646726923146035
6,16,122481,0.0925939533478662
6,17,130382,0.10054301974198893
6,18,89174,0.10152062260300088
6,19,30138,0.10654323445484107
6,20,31150,0.10908507223113964
6,21,39566,0.11643835616438356
6,22,54339,0.12974106994975984
6,23,55875,0.12425950782997763
7,0,17894,0.13613501732424277
7,1,21629,0.15183318692496187
7,2,8089,0.1556434664359006
7,3,476,0.12184873949579832
7,4,15342,0.15336983444140267
7,5,110981,0.17900361323109362
7,6,110336,0.1548995794663573
7,7,87050,0.13395749569213095
7,8,68213,0.10632870567193936
7,9,56511,0.09552122595600857
7,10,54047,0.09549096157048495
7,11,79236,0.11254985107779292
7,12,89048,0.10807654298805139
7,13,94570,0.10634450671460294
7,14,108275,0.12519972292773032
7,15,108449,0.11863640974098424
7,16,125874,0.12062856507300952
7,17,134531,0.13176888598166966
7,18,73422,0.13687995423714963
7,19,26759,0.10871108785829067
7,20,28598,0.11203580669976922
7,21,37338,0.1203867373721142
7,22,48460,0.12626908790755262
7,23,46909,0.1298897866081136
8,0,22746,0.12661566868900026
8,1,19668,0.17027659141753101
8,2,170,0.16470588235294117
8,3,17,0.0
8,4,954,0.07547169811320754
8,5,36297,0.1678100118467091
8,6,143129,0.1846236611727882
8,7,120703,0.16838023909927674
8,8,90487,0.14574469260777792
8,9,76144,0.1251707291447783
8,10,62035,0.10647215281695817
8,11,79169,0.13300660612108275
8,12,109682,0.1445177877865101
8,13,114724,0.12904013109724208
8,14,141045,0.1307029671381474
8,15,153124,0.13274209137692328
8,16,162952,0.1400719230202759
8,17,107873,0.1662695948012941
8,18,36198,0.13055969943090778
8,19,36848,0.14169018671298306
8,20,42087,0.16297193907857532
8,21,53936,0.17700608128151885
8,22,62647,0.16966494804220472
8,23,32544,0.13157571288102263
