band_m,dist_bucket,population,n,snr_median
20,1k-2k,midpoint gray-line (original def.),639532,-15.0
20,1k-2k,TRUE gray-line (both endpoints),140495,-14.0
20,1k-2k,both daylight (baseline),5041888,-15.0
20,1k-2k,both night (baseline),631646,-15.0
20,2k-4k,midpoint gray-line (original def.),345454,-17.0
20,2k-4k,TRUE gray-line (both endpoints),10413,-17.0
20,2k-4k,both daylight (baseline),1375984,-19.0
20,2k-4k,both night (baseline),1028978,-17.0
20,4k-8k,midpoint gray-line (original def.),186794,-19.0
20,4k-8k,TRUE gray-line (both endpoints),22,-16.0
20,4k-8k,both daylight (baseline),126759,-21.0
20,4k-8k,both night (baseline),173893,-19.0
40,1k-2k,midpoint gray-line (original def.),500415,-16.0
40,1k-2k,TRUE gray-line (both endpoints),124007,-16.0
40,1k-2k,both daylight (baseline),652001,-20.0
40,1k-2k,both night (baseline),2783805,-15.0
40,2k-4k,midpoint gray-line (original def.),139943,-19.0
40,2k-4k,TRUE gray-line (both endpoints),4770,-17.0
40,2k-4k,both daylight (baseline),17347,-21.0
40,2k-4k,both night (baseline),1338033,-18.0
40,4k-8k,midpoint gray-line (original def.),11705,-21.0
40,4k-8k,TRUE gray-line (both endpoints),4,-22.5
40,4k-8k,both daylight (baseline),37,-22.0
40,4k-8k,both night (baseline),586659,-19.0
