month,mean,median,min,max,count,season
2023-01,217.28571428571428,220.3,198.6,228.1,7,winter
2023-02,174.74285714285716,159.8,148.2,279.3,7,winter
2023-03,156.4,157.5,151.0,160.3,7,spring
2023-04,148.77142857142854,147.0,135.2,166.6,7,spring
2023-05,150.70000000000002,150.6,134.3,169.6,7,spring
2023-06,169.1142857142857,169.7,154.8,180.1,7,summer
2023-07,184.4857142857143,180.0,172.5,218.5,7,summer
2023-08,144.34285714285713,144.1,138.9,150.9,7,summer
2023-09,166.65714285714284,168.1,154.5,175.7,7,autumn
2023-10,130.34285714285713,128.7,118.8,144.0,7,autumn
2023-11,178.04285714285714,178.0,156.5,194.2,7,autumn
2023-12,181.9857142857143,183.4,161.4,195.3,7,winter
