month,sza_bin,sfi_bin,spot_count,snr_median,date
2023-01,50,High (200-250),1131,-17.0,2023-01-16
2023-01,55,High (200-250),12893,-16.0,2023-01-16
2023-01,60,High (200-250),24644,-16.0,2023-01-16
2023-01,65,High (200-250),24558,-16.0,2023-01-16
2023-01,70,High (200-250),21330,-16.0,2023-01-16
2023-01,75,High (200-250),18582,-15.0,2023-01-16
2023-01,80,High (200-250),7015,-15.0,2023-01-16
2023-01,85,High (200-250),905,-15.0,2023-01-16
2023-01,45,High (200-250),3,-12.0,2023-01-17
2023-01,50,High (200-250),1409,-16.0,2023-01-17
2023-01,55,High (200-250),13177,-16.0,2023-01-17
2023-01,60,High (200-250),23423,-16.0,2023-01-17
2023-01,65,High (200-250),22803,-16.0,2023-01-17
2023-01,70,High (200-250),19350,-16.0,2023-01-17
2023-01,75,High (200-250),16926,-16.0,2023-01-17
2023-01,80,High (200-250),6442,-16.0,2023-01-17
2023-01,85,High (200-250),927,-16.0,2023-01-17
2023-01,50,High (200-250),1454,-16.0,2023-01-18
2023-01,55,High (200-250),13645,-16.0,2023-01-18
2023-01,60,High (200-250),26167,-16.0,2023-01-18
2023-01,65,High (200-250),26002,-15.0,2023-01-18
2023-01,70,High (200-250),24941,-15.0,2023-01-18
2023-01,75,High (200-250),26408,-15.0,2023-01-18
2023-01,80,High (200-250),10127,-14.0,2023-01-18
2023-01,85,High (200-250),1223,-15.0,2023-01-18
2023-01,50,High (200-250),1378,-16.0,2023-01-19
2023-01,55,High (200-250),12793,-16.0,2023-01-19
2023-01,60,High (200-250),23311,-16.0,2023-01-19
2023-01,65,High (200-250),25241,-15.0,2023-01-19
2023-01,70,High (200-250),23051,-15.0,2023-01-19
2023-01,75,High (200-250),22450,-15.0,2023-01-19
2023-01,80,High (200-250),7745,-15.0,2023-01-19
2023-01,85,High (200-250),654,-16.0,2023-01-19
2023-01,45,High (200-250),2,-18.5,2023-01-20
2023-01,50,High (200-250),1924,-16.0,2023-01-20
2023-01,55,High (200-250),16007,-16.0,2023-01-20
2023-01,60,High (200-250),25621,-16.0,2023-01-20
2023-01,65,High (200-250),26201,-16.0,2023-01-20
2023-01,70,High (200-250),22518,-16.0,2023-01-20
2023-01,75,High (200-250),20786,-15.0,2023-01-20
2023-01,80,High (200-250),7398,-15.0,2023-01-20
2023-01,85,High (200-250),521,-17.0,2023-01-20
2023-01,45,High (200-250),13,-19.0,2023-01-21
2023-01,50,High (200-250),2840,-16.0,2023-01-21
2023-01,55,High (200-250),18296,-16.0,2023-01-21
2023-01,60,High (200-250),28677,-16.0,2023-01-21
2023-01,65,High (200-250),26752,-16.0,2023-01-21
2023-01,70,High (200-250),23442,-16.0,2023-01-21
2023-01,75,High (200-250),22880,-15.0,2023-01-21
